,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example
0,亜,8.0,7,1509,1.0,['ア'],['つ.ぐ'],"['Asia', 'rank next', 'come after', '-ous']",パフィー亜美由美は日本のグループサウンズ。
1,唖,,10,0,,"['ア', 'アク']",['おし'],"['mute', 'dumb']",彼女はその知らせに唖然とした。
2,娃,9.0,9,0,,"['ア', 'アイ', 'ワ']",['うつく.しい'],['beautiful'],
3,阿,9.0,8,1126,1.0,"['ア', 'オ']","['おもね.る', 'くま']","['Africa', 'flatter', 'fawn upon', 'corner', 'nook', 'recess']",爆発事故で、工場は阿鼻叫喚の場となった。
4,哀,8.0,9,1715,1.0,['アイ'],"['あわ.れ', 'あわ.れむ', 'かな.しい']","['pathetic', 'grief', 'sorrow', 'pathos', 'pity', 'sympathize']",彼はしょんぼりして、哀れに見えた。
5,愛,4.0,13,640,2.0,['アイ'],"['いと.しい', 'かな.しい', 'め.でる', 'お.しむ', 'まな']","['love', 'affection', 'favourite']",愛は家庭から始まる。
6,挨,8.0,10,2258,,['アイ'],['ひら.く'],"['approach', 'draw near', 'push open']",ジェーンのお別れの挨拶を聞いて、私達はとても悲しくなりました。
7,姶,,9,0,,"['オウ', 'アイ']",['あい'],"['good-looking', 'quiet']",
8,逢,9.0,10,2116,,['ホウ'],"['あ.う', 'むか.える']","['meeting', 'tryst', 'date', 'rendezvous']",彼女がおまえを捨てて英語学校で出逢ったアメリカ人の男性に乗り換えたことを認めてはっきり言ったらどうだい？
9,葵,9.0,12,2122,1.0,['キ'],['あおい'],['hollyhock'],葵さんは上手に踊ります。
10,茜,9.0,9,2422,1.0,['セン'],['あかね'],"['madder', 'red dye', 'Turkey red']",小田茜は、美少女コンテスト上がりの女優だ。
11,穐,,16,0,,['シュウ'],"['あき', 'とき']",['autumn'],
12,悪,3.0,11,530,3.0,"['アク', 'オ']","['わる.い', 'わる-', 'あ.し', 'にく.い', '-にく.い', 'ああ', 'いずくに', 'いずくんぞ', 'にく.む']","['bad', 'vice', 'rascal', 'false', 'evil', 'wrong']",悪が勝つということもあります。
13,握,8.0,12,1003,1.0,['アク'],['にぎ.る'],"['grip', 'hold', 'mould sushi', 'bribe']",イギリス人はしばしば、誰かに紹介されるとすぐ握手をする。
